   R( 38, 30) =       4.0745
   R( 38, 31) =       2.6674
   R( 38, 32) =       3.0800
   R( 38, 33) =       2.6673
   R( 38, 34) =       4.0745
   R( 38, 35) =       4.6200
   R( 38, 36) =       4.0744
   R( 38, 37) =       1.5401
   R( 39,  0) =      11.1052
   R( 39,  1) =       9.6174
   R( 39,  2) =       8.5744
   R( 39,  3) =       9.6174
   R( 39,  4) =       9.2401
   R( 39,  5) =       9.3675
   R( 39,  6) =      10.6696
   R( 39,  7) =      12.0279
   R( 39,  8) =      11.1052
   R( 39,  9) =      12.2235
   R( 39, 10) =      11.6268
   R( 39, 11) =      10.7801
   R( 39, 12) =      11.6268
   R( 39, 13) =      13.1576
   R( 39, 14) =      13.6880
   R( 39, 15) =      13.8599
   R( 39, 16) =      13.1578
   R( 39, 17) =      14.1144
   R( 39, 18) =      16.2249
   R( 39, 19) =      15.4000
   R( 39, 20) =      15.6294
   R( 39, 21) =       8.5744
   R( 39, 22) =       7.0572
   R( 39, 23) =       6.1601
   R( 39, 24) =       4.6200
   R( 39, 25) =       5.3347
   R( 39, 26) =       6.7127
   R( 39, 27) =       4.0744
   R( 39, 28) =       2.6673
   R( 39, 29) =       3.0801
   R( 39, 30) =       2.6674
   R( 39, 31) =       3.0801
   R( 39, 32) =       2.6673
   R( 39, 33) =       1.5400
   R( 39, 34) =       5.3348
   R( 39, 35) =       5.5526
   R( 39, 36) =       4.6200
   R( 39, 37) =       2.6674
   R( 39, 38) =       1.5400
   R( 40,  0) =      11.6268
   R( 40,  1) =      10.0985
   R( 40,  2) =       9.2401
   R( 40,  3) =      10.7801
   R( 40,  4) =      10.0985
   R( 40,  5) =      10.6695
   R( 40,  6) =      12.0279
   R( 40,  7) =      13.3369
   R( 40,  8) =      12.2235
   R( 40,  9) =      13.4255
   R( 40, 10) =      12.3201
   R( 40, 11) =      11.6268
   R( 40, 12) =      12.6055
   R( 40, 13) =      13.8599
   R( 40, 14) =      14.8514
   R( 40, 15) =      14.6906
   R( 40, 16) =      14.1143
   R( 40, 17) =      15.1673
   R( 40, 18) =      17.1487
   R( 40, 19) =      16.2249
   R( 40, 20) =      16.6577
   R( 40, 21) =       9.6173
   R( 40, 22) =       8.1490
   R( 40, 23) =       7.0572
   R( 40, 24) =       5.5526
   R( 40, 25) =       6.7127
   R( 40, 26) =       8.0021
   R( 40, 27) =       5.3347
   R( 40, 28) =       3.0800
   R( 40, 29) =       2.6674
   R( 40, 30) =       1.5401
   R( 40, 31) =       4.6200
   R( 40, 32) =       4.0744
   R( 40, 33) =       2.6673
   R( 40, 34) =       6.7127
   R( 40, 35) =       7.0572
   R( 40, 36) =       6.1599
   R( 40, 37) =       4.0745
   R( 40, 38) =       2.6673
   R( 40, 39) =       1.5400
   R( 41,  0) =      13.3369
   R( 41,  1) =      12.0279
   R( 41,  2) =      10.6695
   R( 41,  3) =      10.0986
   R( 41,  4) =      10.7801
   R( 41,  5) =       9.2402
   R( 41,  6) =      10.0987
   R( 41,  7) =      11.6270
   R( 41,  8) =      11.6269
   R( 41,  9) =      12.3202
   R( 41, 10) =      13.4255
   R( 41, 11) =      12.2235
   R( 41, 12) =      12.6056
   R( 41, 13) =      14.8512
   R( 41, 14) =      13.8603
   R( 41, 15) =      15.1673
   R( 41, 16) =      14.1144
   R( 41, 17) =      14.6909
   R( 41, 18) =      17.1489
   R( 41, 19) =      16.6577
   R( 41, 20) =      16.2251
   R( 41, 21) =       9.6175
   R( 41, 22) =       8.1491
   R( 41, 23) =       8.0022
   R( 41, 24) =       6.7128
   R( 41, 25) =       5.5527
   R( 41, 26) =       7.0573
   R( 41, 27) =       5.3348
   R( 41, 28) =       6.1599
   R( 41, 29) =       7.0572
   R( 41, 30) =       6.7127
   R( 41, 31) =       2.6674
   R( 41, 32) =       4.0745
   R( 41, 33) =       4.6200
   R( 41, 34) =       1.5401
   R( 41, 35) =       2.6674
   R( 41, 36) =       3.0800
   R( 41, 37) =       1.5399
   R( 41, 38) =       2.6673
   R( 41, 39) =       4.0744
   R( 41, 40) =       5.3346
   R( 42,  0) =      13.1576
   R( 42,  1) =      11.6266
   R( 42,  2) =      10.7799
   R( 42,  3) =      12.2233
   R( 42,  4) =      11.6266
   R( 42,  5) =      12.0277
   R( 42,  6) =      13.3368
   R( 42,  7) =      14.6906
   R( 42,  8) =      13.6877
   R( 42,  9) =      14.8511
   R( 42, 10) =      13.8599
   R( 42, 11) =      13.1576
   R( 42, 12) =      14.1142
